Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,184.460007,184.940002,181.210007,184.820007,184.820007,40802500
2018-12-04,180.949997,182.389999,176.270004,176.690002,176.690002,41344300
2018-12-06,171.759995,174.779999,170.419998,174.720001,174.720001,43098400
2018-12-07,173.490005,174.490005,168.300003,168.490005,168.490005,42281600
2018-12-10,165.000000,170.089996,163.330002,169.600006,169.600006,62026000
2018-12-11,171.660004,171.789993,167.000000,168.630005,168.630005,47281700
2018-12-12,170.399994,171.919998,169.020004,169.100006,169.100006,35627700
2018-12-13,170.490005,172.570007,169.550003,170.949997,170.949997,31898600
2018-12-14,169.000000,169.080002,165.279999,165.479996,165.479996,40703700
2018-12-17,165.449997,168.350006,162.729996,163.940002,163.940002,44287900
2018-12-18,165.380005,167.529999,164.389999,166.070007,166.070007,33841500
2018-12-19,166.000000,167.449997,159.089996,160.889999,160.889999,49047300
2018-12-20,160.399994,162.110001,155.300003,156.830002,156.830002,64773000
2018-12-21,156.860001,158.160004,149.630005,150.729996,150.729996,95744600
2018-12-24,148.149994,151.550003,146.589996,146.830002,146.830002,37169200
2018-12-26,148.300003,157.229996,146.720001,157.169998,157.169998,58582500
2018-12-27,155.839996,156.770004,150.070007,156.149994,156.149994,53117100
2018-12-28,157.500000,158.520004,154.550003,156.229996,156.229996,42291400
2018-12-31,158.529999,159.360001,156.479996,157.740005,157.740005,35003500
2019-01-02,154.889999,158.850006,154.229996,157.919998,157.919998,37039700
2019-01-03,143.979996,145.720001,142.000000,142.190002,142.190002,91244100
